call_index,filename,symbol,cluster_confidence,top_context,context_confidence,alt_context,alt_confidence,valence,arousal,caller_age_sex,body_part,comm_mode,directed_at,context_probabilities,interpretation,confidence,confidence_note,alternative
0,session_01_call_0001.wav,30,1.0,Courtship,0.34,Birth,0.26,positive,high,calf,mouth,acoustic,,"{'Advertisement & Attraction': 0.07, 'Affiliative': 0.0, 'Aggressive': 0.01, 'Attentive': 0.0, 'Avoidance': 0.025, 'Birth': 0.26, 'Calf Nourishment & Weaning': 0.0, 'Calf Reassurance & Protection': 0.015, 'Coalition Building': 0.02, 'Conflict & Confrontation': 0.035, 'Courtship': 0.34, 'Foraging & Comfort Technique': 0.015, 'Lone & Object Play': 0.02, 'Maintenance': 0.005, 'Protest & Distress': 0.185}",The call is associated with courtship or mating behavior.,34.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Birth (26.0%)
1,session_01_call_0002.wav,47,1.0,Birth,0.165,Courtship,0.16,positive,medium,subadult_male,body,acoustic,,"{'Advertisement & Attraction': 0.14, 'Affiliative': 0.035, 'Aggressive': 0.03, 'Attentive': 0.005, 'Avoidance': 0.02, 'Birth': 0.165, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.055, 'Conflict & Confrontation': 0.02, 'Courtship': 0.16, 'Foraging & Comfort Technique': 0.05, 'Lone & Object Play': 0.09, 'Maintenance': 0.005, 'Protest & Distress': 0.155}",The call is associated with a birth event.,16.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Courtship (16.0%)
2,session_01_call_0003.wav,28,1.0,Birth,0.25,Protest & Distress,0.245,negative,medium,subadult_male,mouth,acoustic,,"{'Advertisement & Attraction': 0.03, 'Affiliative': 0.0, 'Aggressive': 0.085, 'Attentive': 0.01, 'Avoidance': 0.1, 'Birth': 0.25, 'Calf Nourishment & Weaning': 0.05, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.01, 'Conflict & Confrontation': 0.105, 'Courtship': 0.04, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.075, 'Maintenance': 0.0, 'Protest & Distress': 0.245}",The call is associated with a birth event.,25.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (24.5%)
3,session_01_call_0004.wav,28,1.0,Maintenance,0.26,Foraging & Comfort Technique,0.21,neutral,low,calf,mouth,visual,,"{'Advertisement & Attraction': 0.035, 'Affiliative': 0.025, 'Aggressive': 0.0, 'Attentive': 0.11, 'Avoidance': 0.02, 'Birth': 0.07, 'Calf Nourishment & Weaning': 0.03, 'Calf Reassurance & Protection': 0.045, 'Coalition Building': 0.025, 'Conflict & Confrontation': 0.03, 'Courtship': 0.03, 'Foraging & Comfort Technique': 0.21, 'Lone & Object Play': 0.02, 'Maintenance': 0.26, 'Protest & Distress': 0.09}","The call is associated with routine maintenance behavior (resting, dust bathing, drinking).",26.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Foraging & Comfort Technique (21.0%)
4,session_01_call_0005.wav,47,1.0,Coalition Building,0.25,Protest & Distress,0.205,positive,medium,subadult_male,trunk,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.05, 'Aggressive': 0.03, 'Attentive': 0.015, 'Avoidance': 0.025, 'Birth': 0.17, 'Calf Nourishment & Weaning': 0.045, 'Calf Reassurance & Protection': 0.03, 'Coalition Building': 0.25, 'Conflict & Confrontation': 0.035, 'Courtship': 0.015, 'Foraging & Comfort Technique': 0.04, 'Lone & Object Play': 0.055, 'Maintenance': 0.01, 'Protest & Distress': 0.205}","The elephant is coordinating with others, building alliances or group cohesion.",25.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (20.5%)
5,session_01_call_0006.wav,47,1.0,Affiliative,0.325,Protest & Distress,0.135,positive,low,subadult_male,body,chemical,,"{'Advertisement & Attraction': 0.045, 'Affiliative': 0.325, 'Aggressive': 0.03, 'Attentive': 0.01, 'Avoidance': 0.01, 'Birth': 0.085, 'Calf Nourishment & Weaning': 0.025, 'Calf Reassurance & Protection': 0.055, 'Coalition Building': 0.085, 'Conflict & Confrontation': 0.005, 'Courtship': 0.065, 'Foraging & Comfort Technique': 0.03, 'Lone & Object Play': 0.065, 'Maintenance': 0.03, 'Protest & Distress': 0.135}","The elephant is engaging in social bonding or friendly contact in a calm, relaxed manner.",32.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (13.5%)
6,session_01_call_0007.wav,28,1.0,Avoidance,0.345,Protest & Distress,0.29,negative,medium,subadult_male,body,acoustic,,"{'Advertisement & Attraction': 0.02, 'Affiliative': 0.005, 'Aggressive': 0.045, 'Attentive': 0.0, 'Avoidance': 0.345, 'Birth': 0.165, 'Calf Nourishment & Weaning': 0.02, 'Calf Reassurance & Protection': 0.0, 'Coalition Building': 0.0, 'Conflict & Confrontation': 0.05, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.0, 'Lone & Object Play': 0.055, 'Maintenance': 0.0, 'Protest & Distress': 0.29}",The elephant is signaling avoidance or retreat.,34.5%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (29.0%)
7,session_01_call_0008.wav,47,1.0,Coalition Building,0.32,Protest & Distress,0.175,positive,medium,calf,mouth,acoustic,,"{'Advertisement & Attraction': 0.025, 'Affiliative': 0.075, 'Aggressive': 0.025, 'Attentive': 0.015, 'Avoidance': 0.01, 'Birth': 0.075, 'Calf Nourishment & Weaning': 0.03, 'Calf Reassurance & Protection': 0.03, 'Coalition Building': 0.32, 'Conflict & Confrontation': 0.03, 'Courtship': 0.025, 'Foraging & Comfort Technique': 0.06, 'Lone & Object Play': 0.08, 'Maintenance': 0.025, 'Protest & Distress': 0.175}","The elephant is coordinating with others, building alliances or group cohesion.",32.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (17.5%)
8,session_01_call_0009.wav,47,1.0,Coalition Building,0.32,Protest & Distress,0.245,positive,medium,subadult_male,feet,acoustic,,"{'Advertisement & Attraction': 0.055, 'Affiliative': 0.05, 'Aggressive': 0.02, 'Attentive': 0.015, 'Avoidance': 0.01, 'Birth': 0.09, 'Calf Nourishment & Weaning': 0.04, 'Calf Reassurance & Protection': 0.06, 'Coalition Building': 0.32, 'Conflict & Confrontation': 0.025, 'Courtship': 0.005, 'Foraging & Comfort Technique': 0.035, 'Lone & Object Play': 0.025, 'Maintenance': 0.005, 'Protest & Distress': 0.245}","The elephant is coordinating with others, building alliances or group cohesion.",32.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (24.5%)
9,session_01_call_0010.wav,30,1.0,Courtship,0.33,Protest & Distress,0.175,positive,medium,subadult_male,ears,acoustic,,"{'Advertisement & Attraction': 0.12, 'Affiliative': 0.01, 'Aggressive': 0.0, 'Attentive': 0.005, 'Avoidance': 0.02, 'Birth': 0.17, 'Calf Nourishment & Weaning': 0.01, 'Calf Reassurance & Protection': 0.025, 'Coalition Building': 0.015, 'Conflict & Confrontation': 0.035, 'Courtship': 0.33, 'Foraging & Comfort Technique': 0.025, 'Lone & Object Play': 0.06, 'Maintenance': 0.0, 'Protest & Distress': 0.175}",The call is associated with courtship or mating behavior— likely a male advertising reproductive fitness.,33.0%,acoustic pattern match to previously observed behavioral contexts,Could also be: Protest & Distress (17.5%)
