filename,context,age_sex,body_part,comm_mode,sound_type,elephant_id,receiver_id,country,session_id,mean_f0,std_f0,f0_range,f0_slope,mean_f1,mean_f2,mean_f3,duration,attack_time,temporal_centroid,rms_energy,mean_hnr,spectral_flatness,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4
session_01_call_0001.wav,Courtship,calf,mouth,acoustic,bark,E006,,Zimbabwe,01,25.709,2.422,2.486,-0.3626,131.43,184.06,320.21,4.73,0.574,0.375,0.04765,6.438,0.04687,98.9,55.45,105.23,-77.369,10.863,6.316,0.48
session_01_call_0002.wav,Coalition Building,subadult_male,body,acoustic,rumble,E007,,Botswana,01,22.965,2.43,11.708,0.0916,102.89,168.72,319.96,4.268,0.134,0.308,0.04315,8.029,0.01621,93.24,56.05,137.59,-69.825,11.688,5.63,0.272
session_01_call_0003.wav,Avoidance,subadult_male,mouth,acoustic,roar,E007,E014,Botswana,01,24.527,2.236,11.607,0.0153,109.21,180.37,311.67,1.557,0.576,0.372,0.04747,4.089,0.0282,89.37,49.16,150.78,-65.911,22.587,7.507,-2.56
session_01_call_0004.wav,Maintenance,calf,mouth,visual,roar,E006,,Zimbabwe,01,12.463,0.545,8.9,-0.5312,99.59,172.91,300.53,4.017,0.3,0.349,0.00614,11.17,0.04101,101.72,48.28,60.05,-71.036,18.643,-3.947,-0.736
session_01_call_0005.wav,Coalition Building,subadult_male,trunk,acoustic,rumble,E007,,Botswana,01,19.937,0.884,4.27,-0.2777,109.44,190.1,297.51,3.445,0.327,0.725,0.02351,9.738,0.00989,126.06,80.93,182.56,-66.945,6.185,-4.45,3.573
session_01_call_0006.wav,Affiliative,subadult_male,body,chemical,roar,E007,E022,Botswana,01,16.474,2.609,10.352,-0.1461,101.83,174.68,295.74,3.917,0.305,0.431,0.02106,9.713,0.00785,22.52,63.28,167.94,-84.034,14.319,-1.314,-0.184
session_01_call_0007.wav,Avoidance,subadult_male,body,acoustic,rumble,E007,E012,Botswana,01,26.954,2.791,10.484,0.414,113.25,186.25,289.08,1.828,0.161,0.617,0.05657,5.763,0.00566,130.75,67.31,98.84,-67.058,4.14,-2.073,4.534
session_01_call_0008.wav,Coalition Building,calf,mouth,acoustic,rumble,E011,E005,Zimbabwe,01,16.894,1.133,9.344,0.3044,88.43,179.41,293.26,3.294,0.321,0.56,0.02468,9.96,0.00674,88.65,63.68,135.22,-76.121,14.069,4.274,0.699
session_01_call_0009.wav,Coalition Building,subadult_male,feet,acoustic,rumble,E007,E008,Botswana,01,21.101,1.41,7.693,-0.0625,116.89,173.47,284.41,3.355,0.314,0.426,0.04196,10.386,0.04761,84.94,83.28,118.4,-85.478,18.021,-1.831,0.324
session_01_call_0010.wav,Courtship,subadult_male,ears,acoustic,bark,E007,E011,Botswana,01,23.361,1.646,3.438,-1.1551,111.04,178.0,303.48,5.455,0.6,0.599,0.05207,7.27,0.04495,92.37,52.95,132.98,-66.745,14.103,-1.575,1.564
