segment_file_name, original_file_name
01_Advertisement & Attraction_Estrous-Roar_seg001.wav,01_Advertisement & Attraction_Estrous-Roar.wav
01_Advertisement & Attraction_Estrous-Roar_seg002.wav,01_Advertisement & Attraction_Estrous-Roar.wav
01_Affiliative_Mating-Pandemonium_seg001.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg002.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg003.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg004.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg005.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg006.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg007.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg008.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg009.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg010.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg011.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg012.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg013.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg014.wav,01_Affiliative_Mating-Pandemonium.wav
01_Affiliative_Mating-Pandemonium_seg015.wav,01_Affiliative_Mating-Pandemonium.wav
01_Aggressive_Trumpet-Blast_seg001.wav,01_Aggressive_Trumpet-Blast.wav
01_Aggressive_Trumpet-Blast_seg002.wav,01_Aggressive_Trumpet-Blast.wav
01_Attacking & Mobbing_Pulsated-Trumpet_seg001.wav,01_Attacking & Mobbing_Pulsated-Trumpet.wav
01_Attentive_Lets-Go-Rumble_seg001.wav,01_Attentive_Lets-Go-Rumble.wav
01_Birth_Coo-Rumble_seg001.wav,01_Birth_Coo-Rumble.wav
01_Calf Nourishment & Weaning_Bonding-Rumble_seg001.wav,01_Calf Nourishment & Weaning_Bonding-Rumble.wav
01_Calf Reassurance & Protection_Alarmed-Trumpet_seg001.wav,01_Calf Reassurance & Protection_Alarmed-Trumpet.wav
01_Calf Reassurance & Protection_Alarmed-Trumpet_seg002.wav,01_Calf Reassurance & Protection_Alarmed-Trumpet.wav
01_Conflict & Confrontation_Estrous-Running-Rumble-Roar_seg001.wav,01_Conflict & Confrontation_Estrous-Running-Rumble-Roar.wav
01_Conflict & Confrontation_Estrous-Running-Rumble-Roar_seg002.wav,01_Conflict & Confrontation_Estrous-Running-Rumble-Roar.wav
01_Courtship_Estrous-Roar_seg001.wav,01_Courtship_Estrous-Roar.wav
01_Courtship_Estrous-Roar_seg002.wav,01_Courtship_Estrous-Roar.wav
01_Courtship_Estrous-Roar_seg003.wav,01_Courtship_Estrous-Roar.wav
01_Courtship_Estrous-Roar_seg004.wav,01_Courtship_Estrous-Roar.wav
01_Foraging & Comfort Technique_Blow_seg001.wav,01_Foraging & Comfort Technique_Blow.wav
01_Foraging & Comfort Technique_Blow_seg002.wav,01_Foraging & Comfort Technique_Blow.wav
01_Foraging & Comfort Technique_Blow_seg003.wav,01_Foraging & Comfort Technique_Blow.wav
01_Foraging & Comfort Technique_Blow_seg004.wav,01_Foraging & Comfort Technique_Blow.wav
01_Maintenance_Blow_seg001.wav,01_Maintenance_Blow.wav
01_Maintenance_Blow_seg002.wav,01_Maintenance_Blow.wav
01_Maintenance_Blow_seg003.wav,01_Maintenance_Blow.wav
01_Maintenance_Blow_seg004.wav,01_Maintenance_Blow.wav
01_Movement Space & Leadership_Lets-Go-Rumble_seg001.wav,01_Movement Space & Leadership_Lets-Go-Rumble.wav
01_Movement Space & Leadership_Lets-Go-Rumble_seg002.wav,01_Movement Space & Leadership_Lets-Go-Rumble.wav
01_Novel & Idiosyncratic_Nasal-Throb_seg001.wav,01_Novel & Idiosyncratic_Nasal-Throb.wav
01_Novel & Idiosyncratic_Nasal-Throb_seg002.wav,01_Novel & Idiosyncratic_Nasal-Throb.wav
01_Novel & Idiosyncratic_Nasal-Throb_seg003.wav,01_Novel & Idiosyncratic_Nasal-Throb.wav
01_Novel & Idiosyncratic_Nasal-Throb_seg004.wav,01_Novel & Idiosyncratic_Nasal-Throb.wav
01_Novel & Idiosyncratic_Nasal-Throb_seg005.wav,01_Novel & Idiosyncratic_Nasal-Throb.wav
01_Protest & Distress_Protest-Trumpet_seg001.wav,01_Protest & Distress_Protest-Trumpet.wav
01_Protest & Distress_Protest-Trumpet_seg002.wav,01_Protest & Distress_Protest-Trumpet.wav
01_Social Play_Alarmed-Trumpet_seg001.wav,01_Social Play_Alarmed-Trumpet.wav
01_Submissive_Snort_seg001.wav,01_Submissive_Snort.wav
01_Submissive_Snort_seg002.wav,01_Submissive_Snort.wav
01_ocial Play_Protest-Trumpet_seg001.wav,01_ocial Play_Protest-Trumpet.wav
01_ocial Play_Protest-Trumpet_seg002.wav,01_ocial Play_Protest-Trumpet.wav
01_ocial Play_Protest-Trumpet_seg003.wav,01_ocial Play_Protest-Trumpet.wav
02_Advertisement & Attraction_Estrous-Roar_seg001.wav,02_Advertisement & Attraction_Estrous-Roar.wav
02_Advertisement & Attraction_Estrous-Roar_seg002.wav,02_Advertisement & Attraction_Estrous-Roar.wav
02_Advertisement & Attraction_Estrous-Roar_seg003.wav,02_Advertisement & Attraction_Estrous-Roar.wav
02_Affiliative_Nasal-Trumpet_seg001.wav,02_Affiliative_Nasal-Trumpet.wav
02_Attacking & Mobbing_Pulsated-Trumpet_seg001.wav,02_Attacking & Mobbing_Pulsated-Trumpet.wav
02_Attacking & Mobbing_Pulsated-Trumpet_seg002.wav,02_Attacking & Mobbing_Pulsated-Trumpet.wav
02_Avoidance_Snort_seg001.wav,02_Avoidance_Snort.wav
02_Calf Nourishment & Weaning_Coo-Rumble_seg001.wav,02_Calf Nourishment & Weaning_Coo-Rumble.wav
02_Calf Nourishment & Weaning_Coo-Rumble_seg002.wav,02_Calf Nourishment & Weaning_Coo-Rumble.wav
02_Calf Reassurance & Protection_Alarmed-Trumpet_seg001.wav,02_Calf Reassurance & Protection_Alarmed-Trumpet.wav
02_Calf Reassurance & Protection_Alarmed-Trumpet_seg002.wav,02_Calf Reassurance & Protection_Alarmed-Trumpet.wav
02_Calf Reassurance & Protection_Alarmed-Trumpet_seg003.wav,02_Calf Reassurance & Protection_Alarmed-Trumpet.wav
02_Conflict & Confrontation_Alarmed-Trumpet_seg001.wav,02_Conflict & Confrontation_Alarmed-Trumpet.wav
02_Conflict & Confrontation_Alarmed-Trumpet_seg002.wav,02_Conflict & Confrontation_Alarmed-Trumpet.wav
02_Conflict & Confrontation_Alarmed-Trumpet_seg003.wav,02_Conflict & Confrontation_Alarmed-Trumpet.wav
02_Conflict & Confrontation_Alarmed-Trumpet_seg004.wav,02_Conflict & Confrontation_Alarmed-Trumpet.wav
02_Courtship_Estrous-Roar_seg001.wav,02_Courtship_Estrous-Roar.wav
02_Movement Space & Leadership_Lets-Go-Rumble_seg001.wav,02_Movement Space & Leadership_Lets-Go-Rumble.wav
02_Movement Space & Leadership_Lets-Go-Rumble_seg002.wav,02_Movement Space & Leadership_Lets-Go-Rumble.wav
02_Movement Space & Leadership_Lets-Go-Rumble_seg003.wav,02_Movement Space & Leadership_Lets-Go-Rumble.wav
02_Movement Space & Leadership_Lets-Go-Rumble_seg004.wav,02_Movement Space & Leadership_Lets-Go-Rumble.wav
02_Novel & Idiosyncratic_Squeak_seg001.wav,02_Novel & Idiosyncratic_Squeak.wav
02_Novel & Idiosyncratic_Squeak_seg002.wav,02_Novel & Idiosyncratic_Squeak.wav
02_Novel & Idiosyncratic_Squeak_seg003.wav,02_Novel & Idiosyncratic_Squeak.wav
02_Novel & Idiosyncratic_Squeak_seg004.wav,02_Novel & Idiosyncratic_Squeak.wav
02_Novel & Idiosyncratic_Squeak_seg005.wav,02_Novel & Idiosyncratic_Squeak.wav
02_Protest & Distress_Pulsated-Trumpet_seg001.wav,02_Protest & Distress_Pulsated-Trumpet.wav
02_Protest & Distress_Pulsated-Trumpet_seg002.wav,02_Protest & Distress_Pulsated-Trumpet.wav
02_Protest & Distress_Pulsated-Trumpet_seg003.wav,02_Protest & Distress_Pulsated-Trumpet.wav
02_Protest & Distress_Pulsated-Trumpet_seg004.wav,02_Protest & Distress_Pulsated-Trumpet.wav
02_Social Play_Nasal-Trumpet_seg001.wav,02_Social Play_Nasal-Trumpet.wav
02_Social Play_Nasal-Trumpet_seg002.wav,02_Social Play_Nasal-Trumpet.wav
03_Advertisement & Attraction_Estrous-Roar_seg001.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Advertisement & Attraction_Estrous-Roar_seg002.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Advertisement & Attraction_Estrous-Roar_seg003.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Advertisement & Attraction_Estrous-Roar_seg004.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Advertisement & Attraction_Estrous-Roar_seg005.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Advertisement & Attraction_Estrous-Roar_seg006.wav,03_Advertisement & Attraction_Estrous-Roar.wav
03_Aggressive_Dueling_seg001.wav,03_Aggressive_Dueling.wav
03_Attacking & Mobbing_Trumpet-Blast_seg001.wav,03_Attacking & Mobbing_Trumpet-Blast.wav
03_Attacking & Mobbing_Trumpet-Blast_seg002.wav,03_Attacking & Mobbing_Trumpet-Blast.wav
03_Attacking & Mobbing_Trumpet-Blast_seg003.wav,03_Attacking & Mobbing_Trumpet-Blast.wav
03_Avoidance_Snort_seg001.wav,03_Avoidance_Snort.wav
03_Avoidance_Snort_seg002.wav,03_Avoidance_Snort.wav
03_Calf Nourishment & Weaning_Coo-Rumble_seg001.wav,03_Calf Nourishment & Weaning_Coo-Rumble.wav
03_Calf Nourishment & Weaning_Coo-Rumble_seg002.wav,03_Calf Nourishment & Weaning_Coo-Rumble.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg001.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg002.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg003.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg004.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg005.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Calf Reassurance & Protection_Trumpet-Blast_seg006.wav,03_Calf Reassurance & Protection_Trumpet-Blast.wav
03_Coalition Building_Bunching_seg001.wav,03_Coalition Building_Bunching.wav
03_Conflict & Confrontation_Alarmed-Trumpet_seg001.wav,03_Conflict & Confrontation_Alarmed-Trumpet.wav
03_Conflict & Confrontation_Alarmed-Trumpet_seg002.wav,03_Conflict & Confrontation_Alarmed-Trumpet.wav
03_Conflict & Confrontation_Alarmed-Trumpet_seg003.wav,03_Conflict & Confrontation_Alarmed-Trumpet.wav
03_Courtship_Estrous-Rumble_seg001.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg002.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg003.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg004.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg005.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg006.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg007.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg008.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg009.wav,03_Courtship_Estrous-Rumble.wav
03_Courtship_Estrous-Rumble_seg010.wav,03_Courtship_Estrous-Rumble.wav
03_Foraging & Comfort Technique_Contact-Rumble_seg001.wav,03_Foraging & Comfort Technique_Contact-Rumble.wav
03_Maintenance_Sneeze_seg001.wav,03_Maintenance_Sneeze.wav
03_Maintenance_Sneeze_seg002.wav,03_Maintenance_Sneeze.wav
03_Movement Space & Leadership_Lets-Go-Rumble_seg001.wav,03_Movement Space & Leadership_Lets-Go-Rumble.wav
03_Novel & Idiosyncratic_Squeak_seg001.wav,03_Novel & Idiosyncratic_Squeak.wav
03_Novel & Idiosyncratic_Squeak_seg002.wav,03_Novel & Idiosyncratic_Squeak.wav
03_Novel & Idiosyncratic_Squeak_seg003.wav,03_Novel & Idiosyncratic_Squeak.wav
03_Protest & Distress_V8-Rumble_seg001.wav,03_Protest & Distress_V8-Rumble.wav
03_Protest & Distress_V8-Rumble_seg002.wav,03_Protest & Distress_V8-Rumble.wav
03_Social Play_Nasal-Trumpet_seg001.wav,03_Social Play_Nasal-Trumpet.wav
03_Social Play_Nasal-Trumpet_seg002.wav,03_Social Play_Nasal-Trumpet.wav
04_Advertisement & Attraction_Estrous-Roar_seg001.wav,04_Advertisement & Attraction_Estrous-Roar.wav
04_Advertisement & Attraction_Estrous-Roar_seg002.wav,04_Advertisement & Attraction_Estrous-Roar.wav
04_Affiliative_Conciliation_seg001.wav,04_Affiliative_Conciliation.wav
04_Aggressive_Dueling_seg001.wav,04_Aggressive_Dueling.wav
04_Aggressive_Dueling_seg002.wav,04_Aggressive_Dueling.wav
04_Aggressive_Dueling_seg003.wav,04_Aggressive_Dueling.wav
04_Aggressive_Dueling_seg004.wav,04_Aggressive_Dueling.wav
04_Aggressive_Dueling_seg005.wav,04_Aggressive_Dueling.wav
04_Aggressive_Dueling_seg006.wav,04_Aggressive_Dueling.wav
04_Attacking & Mobbing_Trumpet-Blast_seg001.wav,04_Attacking & Mobbing_Trumpet-Blast.wav
04_Attacking & Mobbing_Trumpet-Blast_seg002.wav,04_Attacking & Mobbing_Trumpet-Blast.wav
04_Calf Nourishment & Weaning_Coo-Rumble_seg001.wav,04_Calf Nourishment & Weaning_Coo-Rumble.wav
04_Calf Nourishment & Weaning_Coo-Rumble_seg002.wav,04_Calf Nourishment & Weaning_Coo-Rumble.wav
04_Calf Nourishment & Weaning_Coo-Rumble_seg003.wav,04_Calf Nourishment & Weaning_Coo-Rumble.wav
04_Calf Reassurance & Protection_Bunching_seg001.wav,04_Calf Reassurance & Protection_Bunching.wav
04_Calf Reassurance & Protection_Bunching_seg002.wav,04_Calf Reassurance & Protection_Bunching.wav
04_Calf Reassurance & Protection_Bunching_seg003.wav,04_Calf Reassurance & Protection_Bunching.wav
04_Calf Reassurance & Protection_Bunching_seg004.wav,04_Calf Reassurance & Protection_Bunching.wav
04_Calf Reassurance & Protection_Bunching_seg005.wav,04_Calf Reassurance & Protection_Bunching.wav
04_Coalition Building_Rumble-Roar_seg001.wav,04_Coalition Building_Rumble-Roar.wav
04_Coalition Building_Rumble-Roar_seg002.wav,04_Coalition Building_Rumble-Roar.wav
04_Conflict & Confrontation_Alarmed-Trumpet_seg001.wav,04_Conflict & Confrontation_Alarmed-Trumpet.wav
04_Conflict & Confrontation_Alarmed-Trumpet_seg002.wav,04_Conflict & Confrontation_Alarmed-Trumpet.wav
04_Courtship_Mating_seg001.wav,04_Courtship_Mating.wav
04_Courtship_Mating_seg002.wav,04_Courtship_Mating.wav
04_Maintenance_Sneeze_seg001.wav,04_Maintenance_Sneeze.wav
04_Maintenance_Sneeze_seg002.wav,04_Maintenance_Sneeze.wav
04_Movement Space & Leadership_Lets-Go-Rumble_seg001.wav,04_Movement Space & Leadership_Lets-Go-Rumble.wav
04_Movement Space & Leadership_Lets-Go-Rumble_seg002.wav,04_Movement Space & Leadership_Lets-Go-Rumble.wav
04_Novel & Idiosyncratic_Squelch_seg001.wav,04_Novel & Idiosyncratic_Squelch.wav
04_Novel & Idiosyncratic_Squelch_seg002.wav,04_Novel & Idiosyncratic_Squelch.wav
04_Novel & Idiosyncratic_Squelch_seg003.wav,04_Novel & Idiosyncratic_Squelch.wav
04_Novel & Idiosyncratic_Squelch_seg004.wav,04_Novel & Idiosyncratic_Squelch.wav
04_Novel & Idiosyncratic_Squelch_seg005.wav,04_Novel & Idiosyncratic_Squelch.wav
04_Social Play_Play-Trumpet_seg001.wav,04_Social Play_Play-Trumpet.wav
04_Social Play_Play-Trumpet_seg002.wav,04_Social Play_Play-Trumpet.wav
04_Social Play_Play-Trumpet_seg003.wav,04_Social Play_Play-Trumpet.wav
04_Social Play_Play-Trumpet_seg004.wav,04_Social Play_Play-Trumpet.wav
04_Social Play_Play-Trumpet_seg005.wav,04_Social Play_Play-Trumpet.wav
05_Advertisement & Attraction_Estrous-Roar_seg001.wav,05_Advertisement & Attraction_Estrous-Roar.wav
05_Advertisement & Attraction_Estrous-Roar_seg002.wav,05_Advertisement & Attraction_Estrous-Roar.wav
05_Advertisement & Attraction_Estrous-Roar_seg003.wav,05_Advertisement & Attraction_Estrous-Roar.wav
05_Advertisement & Attraction_Estrous-Roar_seg004.wav,05_Advertisement & Attraction_Estrous-Roar.wav
05_Affiliative_Conciliation_seg001.wav,05_Affiliative_Conciliation.wav
05_Aggressive_Dueling_seg001.wav,05_Aggressive_Dueling.wav
05_Aggressive_Dueling_seg002.wav,05_Aggressive_Dueling.wav
05_Attacking & Mobbing_Trumpet-Blast_seg001.wav,05_Attacking & Mobbing_Trumpet-Blast.wav
05_Attacking & Mobbing_Trumpet-Blast_seg002.wav,05_Attacking & Mobbing_Trumpet-Blast.wav
05_Attacking & Mobbing_Trumpet-Blast_seg003.wav,05_Attacking & Mobbing_Trumpet-Blast.wav
05_Attacking & Mobbing_Trumpet-Blast_seg004.wav,05_Attacking & Mobbing_Trumpet-Blast.wav
05_Calf Nourishment & Weaning_Guiding_seg001.wav,05_Calf Nourishment & Weaning_Guiding.wav
05_Calf Nourishment & Weaning_Guiding_seg002.wav,05_Calf Nourishment & Weaning_Guiding.wav
05_Calf Nourishment & Weaning_Guiding_seg003.wav,05_Calf Nourishment & Weaning_Guiding.wav
05_Calf Nourishment & Weaning_Guiding_seg004.wav,05_Calf Nourishment & Weaning_Guiding.wav
05_Calf Reassurance & Protection_Bunching_seg001.wav,05_Calf Reassurance & Protection_Bunching.wav
05_Calf Reassurance & Protection_Bunching_seg002.wav,05_Calf Reassurance & Protection_Bunching.wav
05_Calf Reassurance & Protection_Bunching_seg003.wav,05_Calf Reassurance & Protection_Bunching.wav
05_Coalition Building_Bonding-Rumble_seg001.wav,05_Coalition Building_Bonding-Rumble.wav
05_Coalition Building_Bonding-Rumble_seg002.wav,05_Coalition Building_Bonding-Rumble.wav
05_Coalition Building_Bonding-Rumble_seg003.wav,05_Coalition Building_Bonding-Rumble.wav
05_Coalition Building_Bonding-Rumble_seg004.wav,05_Coalition Building_Bonding-Rumble.wav
05_Coalition Building_Bonding-Rumble_seg005.wav,05_Coalition Building_Bonding-Rumble.wav
05_Conflict & Confrontation_Snort_seg001.wav,05_Conflict & Confrontation_Snort.wav
05_Courtship_Mating_seg001.wav,05_Courtship_Mating.wav
05_Courtship_Mating_seg002.wav,05_Courtship_Mating.wav
05_Courtship_Mating_seg003.wav,05_Courtship_Mating.wav
