elephant_id,n_calls,within_distance,between_distance,identifiability
Kidnap,2,46.862455852872955,492.6740845003806,10.513193664752912
High-Fiving,3,96.81051515150989,419.15033940294364,4.329595131452116
Female-Chorus,4,121.84924997284773,497.49534359139125,4.08287568137986
Estrous-Running-Rumble-Roar,2,119.25166078323309,484.9536653005393,4.066640733124981
Protest-Trumpet,6,155.46629224530204,590.3068816499435,3.79700878774108
Trump,3,184.46152791736787,663.8509639546133,3.5988586229923025
Roar-Rumble,14,160.89622382861066,527.5432886017416,3.2787797797225475
Nasal-Trumpet,3,156.04165671063038,480.8983412557707,3.0818587056256925
Estrous-Rumble,21,193.6931432918864,549.8796142729909,2.838921409858205
Separated-Rumble,5,168.36524823772757,463.1696065603607,2.7509810287892407
Rumble-Roar,43,212.2032603046066,554.5203226692221,2.6131564579171918
Escalated-Contest,6,751.720856248835,1878.4593933523158,2.4988789059640357
Contact-Rumble,6,197.97190052806022,491.7662911329245,2.484020648067687
Guiding,5,189.63336027924458,464.84074670267444,2.4512603877657013
Rev,3,186.22677662035963,443.2442413550856,2.380131617047467
Roaring-Rumble,22,219.06418041447864,495.2396669719243,2.26070580673757
Bonding-Ceremony,5,220.7428619535138,440.29930538528936,1.9946253278322839
Coo-Rumble,12,237.53795322552742,455.20725906340107,1.9163558958296418
Solicit-Suckling,6,259.9614660509217,494.68816045950484,1.902928791991332
Estrous-Walk,5,253.1135828199913,477.7413405643727,1.887458323470034
Squelch,9,252.3263104365419,475.1769718756526,1.883184393931728
Bonding-Rumble,4,270.64729089184175,496.8635186134374,1.8358340670631872
Little-Greeting,2,274.41726680378116,503.245152155652,1.8338683865750445
Social-Trumpet,10,258.65421151505467,466.5019124569877,1.8035736125110877
V8-Rumble,3,315.25075551444957,563.8444563153831,1.7885586145755663
Sneeze,5,272.07962638001914,484.78442038690946,1.7817740528944537
Blow,9,297.12792974086074,526.0663190720621,1.7705044347744923
Play-Trumpet,31,295.4605096313529,473.6700755944123,1.6031586575893118
Movement-Initiation,12,314.8109561958485,474.5746991505625,1.5074910459845354
Baroo-Rumble,7,371.36986005059657,549.2641271769098,1.4790218183647283
Lets-Go-Stance,21,340.4650067777143,499.58180873841616,1.467351408590534
Squeak,6,370.0342707775834,535.7546460722822,1.4478514206227588
Bow-Neck-Charge,12,342.9341047733721,490.972905754776,1.431682931178724
Snort,6,369.72084992668704,524.1840990777125,1.4177834378663552
Nasal-Throb,3,437.8865926879478,618.6169977401597,1.4127333575802647
Caressing,7,389.2984217610814,544.0322010574325,1.3974682897477695
Floppy-Running,20,365.5053506520687,487.82679743057156,1.334663898149822
Estrous-Roar,8,432.7157283242825,573.259878479473,1.324795563532346
Rumble-Roar-Rumble,24,454.5295589274164,596.6063178837687,1.3125797978442602
Grumble-Rumble,22,419.27695472915843,543.5312499317876,1.2963537406594177
Solicit-Food,3,426.6012724349188,547.2138444826829,1.2827290459698182
Dueling,5,475.192173970876,608.7707754336793,1.2811043773416306
Bunching,10,404.08954090423174,513.0117622781615,1.2695497138100746
Squeal-Trumpet,2,571.8990585468025,716.145778277533,1.2522240880148288
Group-Charge,10,425.5108654585069,523.9991089339787,1.2314588186552828
Chase,22,463.82712341885156,562.485217756365,1.212704449876937
Lets-Go-Rumble,24,463.79966806875484,533.8449352392453,1.1510248299899213
Sparring,43,461.3994940685616,527.9599225103652,1.1442576945861485
Alarmed-Trumpet,16,575.0054368656097,656.8589422937149,1.1423525744938017
Greeting-Ceremony,20,525.5320385905554,588.4388036906398,1.1197011016665994
Mating,19,499.77851826015205,553.6518704412487,1.1077944511517783
Pulsated-Trumpet,30,537.8156008929283,582.2576333683602,1.0826343291622835
Charge,34,586.1128225132937,628.9733721428418,1.0731267887514082
Roar,13,517.7000360882381,554.0329464139218,1.0701813921629892
Trumpet-Blast,55,542.7046587758429,575.1405826835548,1.0597671722979294
Coalition,26,537.3941318882846,568.9201938431073,1.0586646913790858
Female-Chorus-Rumble,11,600.8982003058691,631.9408604516345,1.0516604294675933
Mating-Pandemonium,91,548.5349760381648,570.8011491603108,1.0405920735307947
Husky-Cry,11,620.087211645929,640.9185565928201,1.0335942163006446
Greeting-Rumble,27,837.7468085930877,862.9418677590006,1.0300747885606998
Little-Greeting-Rumble,36,567.2046049617347,579.6816380299674,1.0219974096421114
Begging-Rumble,12,666.6960519601826,674.0031464998543,1.0109601571919133
Cadenced-Rumble,17,631.7641570421371,635.9491325035636,1.0066242669960828
Cry-Rumble,11,700.5760114588161,703.2378389903331,1.003799482831527
Body-Axis-Pointing,6,690.0349718195549,679.7028557294769,0.9850266761873534
Musth-Rumble,4,852.9525108340321,839.9246856732182,0.9847261998996858
Conciliation,28,650.7279232071925,620.6190080986694,0.9537304071510286
